service_id	monday	tuesday	wednesday	thursday	friday	saturday	sunday	start_date	end_date
service_2024-07-29	1	0	0	0	0	0	0	20240729	20240729
service_2024-07-30	0	1	0	0	0	0	0	20240730	20240730
service_2024-07-31	0	0	1	0	0	0	0	20240731	20240731
service_2024-08-01	0	0	0	1	0	0	0	20240801	20240801
service_2024-08-02	0	0	0	0	1	0	0	20240802	20240802
service_2024-08-03	0	0	0	0	0	1	0	20240803	20240803
service_2024-08-04	0	0	0	0	0	0	1	20240804	20240804
service_2024-08-05	1	0	0	0	0	0	0	20240805	20240805
service_2024-08-06	0	1	0	0	0	0	0	20240806	20240806
service_2024-08-07	0	0	1	0	0	0	0	20240807	20240807
service_2024-08-08	0	0	0	1	0	0	0	20240808	20240808
service_2024-08-09	0	0	0	0	1	0	0	20240809	20240809
service_2024-08-10	0	0	0	0	0	1	0	20240810	20240810
service_2024-08-11	0	0	0	0	0	0	1	20240811	20240811
service_2024-08-12	1	0	0	0	0	0	0	20240812	20240812
service_2024-08-13	0	1	0	0	0	0	0	20240813	20240813
service_2024-08-14	0	0	1	0	0	0	0	20240814	20240814
service_2024-08-15	0	0	0	1	0	0	0	20240815	20240815
service_2024-08-16	0	0	0	0	1	0	0	20240816	20240816
service_2024-08-17	0	0	0	0	0	1	0	20240817	20240817
service_2024-08-18	0	0	0	0	0	0	1	20240818	20240818
service_2024-08-19	1	0	0	0	0	0	0	20240819	20240819
service_2024-08-20	0	1	0	0	0	0	0	20240820	20240820
service_2024-08-21	0	0	1	0	0	0	0	20240821	20240821
service_2024-08-22	0	0	0	1	0	0	0	20240822	20240822
service_2024-08-23	0	0	0	0	1	0	0	20240823	20240823
service_2024-08-24	0	0	0	0	0	1	0	20240824	20240824
service_2024-08-25	0	0	0	0	0	0	1	20240825	20240825
service_2024-08-26	1	0	0	0	0	0	0	20240826	20240826
service_2024-08-27	0	1	0	0	0	0	0	20240827	20240827
service_2024-08-28	0	0	1	0	0	0	0	20240828	20240828
service_2024-08-29	0	0	0	1	0	0	0	20240829	20240829
service_2024-08-30	0	0	0	0	1	0	0	20240830	20240830
service_2024-08-31	0	0	0	0	0	1	0	20240831	20240831
service_2024-09-01	0	0	0	0	0	0	1	20240901	20240901
service_2024-09-02	1	0	0	0	0	0	0	20240902	20240902
service_2024-09-03	0	1	0	0	0	0	0	20240903	20240903
service_2024-09-04	0	0	1	0	0	0	0	20240904	20240904
service_2024-09-05	0	0	0	1	0	0	0	20240905	20240905
service_2024-09-06	0	0	0	0	1	0	0	20240906	20240906
service_2024-09-07	0	0	0	0	0	1	0	20240907	20240907
service_2024-09-08	0	0	0	0	0	0	1	20240908	20240908
service_2024-09-09	1	0	0	0	0	0	0	20240909	20240909
service_2024-09-10	0	1	0	0	0	0	0	20240910	20240910
service_2024-09-11	0	0	1	0	0	0	0	20240911	20240911
service_2024-09-12	0	0	0	1	0	0	0	20240912	20240912
service_2024-09-13	0	0	0	0	1	0	0	20240913	20240913
service_2024-09-14	0	0	0	0	0	1	0	20240914	20240914
service_2024-09-15	0	0	0	0	0	0	1	20240915	20240915
service_2024-09-16	1	0	0	0	0	0	0	20240916	20240916
service_2024-09-17	0	1	0	0	0	0	0	20240917	20240917
service_2024-09-18	0	0	1	0	0	0	0	20240918	20240918
service_2024-09-19	0	0	0	1	0	0	0	20240919	20240919
service_2024-09-20	0	0	0	0	1	0	0	20240920	20240920
service_2024-09-21	0	0	0	0	0	1	0	20240921	20240921
